NodeB_ID,Cell_Id,VS.MeanRTWP(dBm),DCH User Num,HSDPA User Num,HSDPA User Throughput (kbit/s),FACH User Num,HSUPA User Num,HSUPA User Throughput (kbit/s),PD85,FR_DROP_DL,FR_DROP_UL
1840000,1840012,-96.2115,13.2364,5.8124,1105.87,3.5787,7.8066,56.3319,581.49,1003,3
2190000,2190012,-95.5702,27.4157,11.1534,301.6699,5.0924,18.7281,45.1127,3341.29,8,481
2520000,2520012,-97.0132,10.5075,3.423,1100.688,1.8354,6.5264,56.0937,774.22,80,222
2540000,2540022,-101.9078,12.8369,5.404,1132.6542,3.4102,9.3437,62.1736,2405.68,2039,0
3050000,3050032,-102.2457,26.7821,16.3909,1681.1861,7.7264,17.0161,69.6333,493.91,11128,606
770000,770012,-96.1221,26.6403,10.8006,889.2282,7.26,15.2025,55.0667,800.53,24868,5
780000,780012,-99.063,25.3288,15.8622,445.3554,5.8598,17.1493,56.0626,4011.37,5061,258
1440000,1440028,-104.5314,10.3624,3.5999,1123.3853,1.9934,4.7804,57.5725,734.72,555,319
650000,650011,-96.3825,27.54,12.8518,831.747,6.5193,16.3305,56.1722,1090.42,407,0
310000,310033,-101.8204,20.3771,9.6524,1363.0862,3.7854,14.1967,52.5329,1707.79,819823,863
1960000,1960023,-103.8195,8.9623,5.9747,1469.4863,3.4225,6.9039,65.9288,260.62,744,12
1590000,1590011,-98.4217,7.0371,2.1882,1103.523,1.6121,4.1825,62.7052,684.92,5,240
2350000,2350011,-102.0095,3.2393,1.2599,1295.0996,0.5877,2.043,77.9835,363.61,6710,0
2270000,2270012,-93.0416,66.8274,40.0459,36.7643,19.3556,46.0226,36.6895,1456.87,1434,10
30000,30013,-97.5355,15.8742,8.0778,1629.1348,4.4112,9.6524,75.1706,388.43,22754,562
2370000,2370023,-101.7572,12.3048,5.9172,1533.6477,3.4857,7.7132,57.4081,357.16,176,911
2140000,2140013,-97.136,29.0661,11.1162,734.1888,5.3769,16.7969,60.9544,725.64,33102,1144
480000,480016,-98.9587,13.0991,5.1505,834.0928,2.8619,7.8865,53.92,3644.1,0,1031
600000,600011,-96.2137,20.0536,8.9916,934.1296,4.3501,11.5364,58.2611,364.93,8601,1
260000,260032,-102.8677,13.7303,9.6159,439.396,7.0503,11.3795,59.7907,6878.03,28535759,32612
210000,210022,-101.4538,15.7837,9.4286,1374.0192,5.6852,10.4473,74.6801,741.84,20683,2741
840000,840021,-106.1022,7.7323,5.0965,1795.3716,3.736,5.9177,69.1933,4522.54,3593,864
1420000,1420011,-103.0288,7.848,4.9575,1026.5784,3.5855,5.4452,57.9767,7448.91,1513,48
3010000,3010012,-97.7723,52.9483,44.1898,71.5404,39.0668,45.3592,32.7381,7553.65,288,465
2970000,2970011,-103.6157,20.2669,18.8158,1680.2018,8.9879,18.9754,93.6126,5011.41,144688,1020
1190000,1190012,-94.4598,21.0162,9.8272,862.8803,6.7962,12.0796,46.3446,377.19,225,16
1570000,1570021,-100.5777,8.8746,6.172,1292.8935,4.6707,6.7902,49.7272,143.95,137,116
480000,480032,-103.8992,12.8918,5.3188,1105.2335,2.3988,8.0104,57.7519,3367.46,0,1031
3000000,3000011,-93.8439,27.8919,12.8642,582.6997,6.4796,16.592,52.3491,4472.39,21,18
990000,990013,-98.93,39.3008,29.0423,278.9134,15.6003,19.3013,60.8013,950.62,2648,1733
2980000,2980022,-106.6467,5.4768,3.7962,1470.7086,2.2352,4.3223,48.5954,4716.13,0,4
2490000,2490023,-101.0037,16.3364,9.7982,1538.5434,7.6038,11.8746,72.1807,623.69,832,339
3110000,3110012,-99.8004,37.5017,24.4828,312.7189,15.2588,29.5648,45.0883,3259.07,2171448,1640
70000,70033,-102.6097,13.8572,4.6126,852.6828,2.19,8.4277,41.7518,860.4,191684,8
1930000,1930016,-95.9508,33.3805,16.7367,555.7679,9.2004,21.7141,55.1797,1974.99,0,9
